Id,SalePrice
1461,99018.98687672564
1462,144740.2743468609
1463,176784.10804811993
1464,191744.0198612329
1465,179427.682879954
1466,164954.48302855698
1467,157759.192396259
1468,158936.07429141493
1469,191031.61274410947
1470,116973.23635418483
1471,154958.09341727692
1472,100734.19357116357
1473,94583.93909811709
1474,139806.38998509423
1475,90597.66990297164
1476,342074.06815624126
1477,243482.02765533334
1478,307650.99177246715
1479,315595.9915130587
1480,418133.8359123726
1481,308680.37896968715
1482,218626.88361779682
1483,162236.30461642257
1484,173821.12280175567
1485,195308.65172449526
1486,191497.09934965742
1487,329592.1191053511
1488,213856.91303676734
1489,191638.54122665874
1490,232059.35638265184
1491,197673.27354647618
1492,76120.85043378084
1493,220133.5551090067
1494,285376.7287647447
1495,273436.9378474801
1496,230489.8139879264
1497,154790.7258572325
1498,173429.14796977816
1499,163325.63633788668
1500,162002.29308211646
1501,182150.49751161883
1502,151335.96483750487
1503,263176.7196384048
1504,231714.04098530184
1505,210946.75993925086
1506,182802.959589443
1507,229762.73017996148
1508,190263.27789338276
1509,152801.94184134164
1510,144670.22499934255
1511,142714.19682960393
1512,151213.40694433998
1513,130904.43381119343
1514,151929.64624512848
1515,172057.26639124105
1516,153921.86918343298
1517,173035.7050018973
1518,110385.40785606217
1519,198282.57156734774
1520,125263.61550809412
1521,122914.06680743076
1522,171199.39187577338
1523,98248.47060354694
1524,103739.24031161267
1525,108186.58179345791
1526,94387.98666529299
1527,99124.99847173097
1528,117634.95605406575
1529,147332.20997152867
1530,203255.22068442535
1531,148899.2174866713
1532,96359.06325007696
1533,135744.2009908645
1534,120173.22148479543
1535,137992.49643085868
1536,95751.120114677
1537,62607.16645946521
1538,152412.26403088344
1539,181321.07853129378
1540,110782.7276922688
1541,136280.91715940973
1542,125945.77288562048
1543,171592.2069302508
1544,70852.49655072826
1545,109553.657674501
1546,141999.51172740734
1547,125330.08507144579
1548,125306.05598351854
1549,116278.63436251917
1550,141279.04625203754
1551,103943.59414996154
1552,144281.45174826274
1553,145089.023031648
1554,113365.29888729514
1555,143609.5050057083
1556,82584.28399941568
1557,92433.05243813003
1558,111213.91581549213
1559,97930.03693180889
1560,128607.98818535912
1561,122632.03371606891
1562,139872.77163416598
1563,124201.33592453026
1564,152590.303118501
1565,154014.8523546452
1566,230072.79599502258
1567,72689.54555687663
1568,234699.9465041564
1569,149534.20786811475
1570,143575.71599663817
1571,95935.98619326994
1572,129079.94409160316
1573,236751.04586218589
1574,125732.55620350703
1575,231851.60319644207
1576,246351.38324362686
1577,183830.695917095
1578,150548.8367947549
1579,137880.02822641138
1580,186038.88801659163
1581,162868.4200328823
1582,127737.42280229669
